user,activity,timestamp,x-axis,y-axis,z-axis,time_s,periodicity,temporal_stability,coordination
3,Walking,100891631629000,-4.79,9.85,-1.65,59.280151,0.5,0.5,0.5
3,Walking,100891671668000,-3.17,12.34,-2.07,59.32019,0.5,0.5,0.5
3,Walking,100891751441000,1.31,4.82,2.49,59.399963,0.5,0.5,0.5
3,Walking,100891791633000,-1.14,8.66,-1.08,59.440155,0.5,0.5,0.5
3,Walking,100891831641000,-1.08,8.16,-1.61,59.480163,0.5,0.5,0.5
3,Walking,100891871528000,-2.26,9.51,4.48,59.52005,0.5,0.5,0.5
3,Walking,100891951575000,-0.31,11.41,0.46,59.600097,0.5,0.5,0.5
3,Walking,100891991492000,0.08,12.98,0.84,59.640014,0.5,0.5,0.5
3,Walking,100892031623000,-1.61,13.8,3.72,59.680145,0.5,0.5,0.5
3,Walking,100892071662000,-2.64,13.25,-1.27,59.720184,0.5,0.5,0.5
3,Walking,100892151404000,-5.33,14.67,-0.42,59.799926,0.5,0.5,0.5
3,Walking,100892191474000,-5.83,11.22,2.37,59.839996,0.5,0.5,0.5
3,Walking,100892231635000,-1.42,5.33,-0.57,59.880157,0.5,0.5,0.5
3,Walking,100892271644000,-0.27,3.76,-1.42,59.920166,0.5,0.5,0.5
3,Walking,100892351478000,-2.79,1.18,10.57,60.0,0.5,0.5,0.5
3,Walking,100892351478000,-2.79,1.18,-2.64,60.0,0.5,0.5,0.5
3,Walking,100892420234000,-2.34,11.07,10.57,60.068756,0.5,0.5,0.5
3,Walking,100892501472000,-3.72,7.44,3.91,60.149994,0.5,0.5,0.5
3,Walking,100892541511000,0.53,11.73,0.99,60.190033,0.5,0.5,0.5
3,Walking,100892581519000,-6.63,11.3,-3.02,60.230041,0.5,0.5,0.5
3,Walking,100892621497000,-6.66,4.25,-0.65,60.270019,0.5,0.5,0.5
3,Walking,100892701514000,-2.68,10.61,-1.33,60.350036,0.5,0.5,0.5
3,Walking,100892741523000,0.23,9.23,-0.53,60.390045,0.5,0.5,0.5
3,Walking,100892781501000,0.5,5.41,2.14,60.430023,0.5,0.5,0.5
3,Walking,100892821662000,-0.65,8.58,-0.42,60.470184,0.5,0.5,0.5
3,Walking,100892901557000,-1.65,9.51,4.59,60.550079,0.5,0.5,0.5
3,Walking,100892941505000,-1.95,9.85,0.46,60.590027,0.5,0.5,0.5
3,Walking,100892981544000,-1.31,11.35,-0.57,60.630066,0.5,0.5,0.5
3,Walking,100893021522000,-0.57,12.91,2.41,60.670044,0.5,0.5,0.5
3,Walking,100893101569000,-3.76,12.87,-1.04,60.750091,0.5,0.5,0.5
3,Walking,100893141639000,-2.79,12.15,-3.49,60.790161,0.5,0.5,0.5
3,Walking,100893181525000,-5.9,15.36,0.34,60.830047,0.5,0.5,0.5
3,Walking,100893221473000,-5.48,12.03,2.11,60.869995,0.5,0.5,0.5
3,Walking,100893301612000,-0.23,3.15,-1.84,60.950134,0.5,0.5,0.5
3,Walking,100893341529000,-0.93,2.34,-2.34,60.990051,0.5,0.5,0.5
3,Walking,100893381538000,-2.3,0.65,-2.49,61.03006,0.5,0.5,0.5
3,Walking,100893421485000,-3.15,2.6,0.3,61.070007,0.5,0.5,0.5
3,Walking,100893501502000,-2.56,13.25,6.93,61.150024,0.5,0.5,0.5
3,Walking,100893541511000,0.3,6.09,2.83,61.190033,0.5,0.5,0.5
3,Walking,100893581519000,-3.41,12.68,-0.23,61.230041,0.5,0.5,0.5
3,Walking,100893621467000,-10.73,13.33,0.53,61.269989,0.5,0.5,0.5
3,Walking,100893701514000,-3.83,8.85,-1.46,61.350036,0.5,0.5,0.5
3,Walking,100893741675000,-2.18,11.99,-1.88,61.390197,0.5,0.5,0.5
3,Walking,100893781501000,0.46,8.85,-1.54,61.430023,0.5,0.5,0.5
3,Walking,100893821570000,1.73,5.24,1.88,61.470092,0.5,0.5,0.5
3,Walking,100893901496000,-1.84,8.28,-0.42,61.550018,0.5,0.5,0.5
3,Walking,100893941505000,-2.76,9.0,2.91,61.590027,0.5,0.5,0.5
3,Walking,100893981513000,-2.22,10.34,1.8,61.630035,0.5,0.5,0.5
3,Walking,100894021552000,-0.89,11.75,0.27,61.670074,0.5,0.5,0.5
3,Walking,100894101508000,-2.18,14.14,2.68,61.75003,0.5,0.5,0.5
3,Walking,100894141517000,-2.53,13.38,-3.99,61.790039,0.5,0.5,0.5
3,Walking,100894181647000,-3.57,13.82,-2.83,61.830169,0.5,0.5,0.5
3,Walking,100894221534000,-6.74,14.48,1.73,61.870056,0.5,0.5,0.5
3,Walking,100894301551000,-0.95,3.95,-1.12,61.950073,0.5,0.5,0.5
3,Walking,100894341529000,-0.15,3.99,-1.31,61.990051,0.5,0.5,0.5
3,Walking,100894381507000,-1.8,2.79,-2.53,62.030029,0.5,0.5,0.5
3,Walking,100894421485000,-3.11,0.5,-2.07,62.070007,0.5,0.5,0.5
3,Walking,100894501655000,-4.4,18.35,16.51,62.150177,0.5,0.5,0.5
3,Walking,100894541511000,-3.15,10.95,6.13,62.190033,0.5,0.5,0.5
3,Walking,100894581519000,-0.76,9.23,1.04,62.230041,0.5,0.5,0.5
3,Walking,101694111487000,1.08,2.18,-0.15,861.760009,1.0,0.5,1.0
3,Walking,101694151435000,1.46,1.42,-1.57,861.799957,1.0,0.5,1.0
3,Walking,101694191413000,0.69,1.42,-3.83,861.839935,1.0,0.5,1.0
3,Walking,101694231483000,-0.72,1.08,-3.83,861.880005,1.0,0.5,1.0
3,Walking,101694311530000,12.64,16.32,15.09,861.960052,1.0,0.5,1.0
3,Walking,101694351722000,3.68,4.99,1.08,862.000244,1.0,0.5,1.0
3,Walking,101694391486000,6.85,10.46,0.08,862.040008,1.0,0.5,1.0
3,Walking,101694431495000,5.79,12.22,-0.23,862.080017,1.0,0.5,1.0
3,Walking,101694511481000,5.01,8.5,-2.87,862.160003,1.0,0.5,1.0
3,Walking,101694551520000,5.9,7.82,-1.54,862.200042,1.0,0.5,1.0
3,Walking,101694591437000,5.56,6.28,-0.69,862.239959,1.0,0.5,1.0
3,Walking,101694631507000,4.56,4.75,0.15,862.280029,1.0,0.5,1.0
3,Walking,101694711494000,7.21,6.13,3.79,862.360016,1.0,0.5,1.0
3,Walking,101694751563000,6.97,7.16,0.42,862.400085,1.0,0.5,1.0
3,Walking,101694791480000,7.4,8.31,1.5,862.440002,1.0,0.5,1.0
3,Walking,101694831519000,10.42,8.12,-0.38,862.480041,1.0,0.5,1.0
3,Walking,101694911445000,8.47,10.84,2.83,862.559967,1.0,0.5,1.0
3,Walking,101694951514000,7.97,8.92,-1.14,862.600036,1.0,0.5,1.0
3,Walking,101694991431000,9.96,11.6,-1.04,862.639953,1.0,0.5,1.0
3,Walking,101695031470000,7.97,14.14,0.38,862.679992,1.0,0.5,1.0
3,Walking,101695111610000,1.14,3.57,-1.38,862.760132,1.0,0.5,1.0
3,Walking,101695151404000,0.84,2.41,-3.34,862.799926,1.0,0.5,1.0
3,Walking,101695191444000,0.19,2.34,-4.1,862.839966,1.0,0.5,1.0
3,Walking,101695231635000,-0.8,1.23,-2.53,862.880157,1.0,0.5,1.0
3,Walking,101695311469000,9.53,10.19,10.61,862.959991,1.0,0.5,1.0
3,Walking,101695351539000,7.7,4.63,-1.08,863.000061,1.0,0.5,1.0
3,Walking,101695391456000,10.27,14.37,1.12,863.039978,1.0,0.5,1.0
3,Walking,101695431495000,1.23,10.73,0.46,863.080017,1.0,0.5,1.0
3,Walking,101695511481000,4.44,8.54,-2.53,863.160003,1.0,0.5,1.0
3,Walking,101695551520000,7.65,8.47,-1.84,863.200042,1.0,0.5,1.0
3,Walking,101695591407000,5.24,6.32,-0.31,863.239929,1.0,0.5,1.0
3,Walking,101695631507000,3.79,3.99,0.5,863.280029,1.0,0.5,1.0
3,Walking,101695711494000,4.94,6.51,1.5,863.360016,1.0,0.5,1.0
3,Walking,101695751502000,8.88,7.7,3.21,863.400024,1.0,0.5,1.0
3,Walking,101695791480000,8.24,8.77,0.99,863.440002,1.0,0.5,1.0
3,Walking,101695831519000,11.37,7.67,0.89,863.480041,1.0,0.5,1.0
3,Walking,101695871497000,13.06,7.44,4.18,863.520019,1.0,0.5,1.0
3,Walking,101695951575000,10.42,11.99,-2.26,863.600097,1.0,0.5,1.0
3,Walking,101695991431000,10.27,18.62,-3.6,863.639953,1.0,0.5,1.0
3,Walking,101696031470000,3.49,13.67,-1.31,863.679992,1.0,0.5,1.0
3,Walking,101696111487000,0.0,0.5,-0.34,863.760009,1.0,0.5,1.0
3,Walking,101696151954000,0.23,1.61,-2.76,863.800476,1.0,0.5,1.0
3,Walking,101696191444000,-0.53,1.33,-4.1,863.839966,1.0,0.5,1.0
3,Walking,101696231635000,-0.15,2.37,-0.99,863.880157,1.0,0.5,1.0
3,Walking,101696311469000,5.63,7.86,4.52,863.959991,1.0,0.5,1.0
3,Walking,101696351508000,6.63,7.78,0.08,864.00003,1.0,0.5,1.0
3,Walking,101696391486000,7.04,13.38,-0.89,864.040008,1.0,0.5,1.0
3,Walking,101696431556000,1.53,8.43,-2.07,864.080078,1.0,0.5,1.0
3,Walking,101696511451000,5.75,7.4,-1.88,864.159973,1.0,0.5,1.0
3,Walking,101696551520000,5.37,6.66,-0.57,864.200042,1.0,0.5,1.0
3,Walking,101696591468000,4.67,4.99,0.3,864.23999,1.0,0.5,1.0
3,Walking,101696631507000,5.52,4.1,0.76,864.280029,1.0,0.5,1.0
3,Walking,101696671485000,6.66,5.05,0.95,864.320007,1.0,0.5,1.0
3,Walking,101696751563000,6.47,7.93,1.61,864.400085,1.0,0.5,1.0
3,Walking,101696791480000,9.11,9.19,0.34,864.440002,1.0,0.5,1.0
3,Walking,101696831489000,10.08,8.12,1.84,864.480011,1.0,0.5,1.0
3,Walking,101696911445000,8.43,9.08,-0.46,864.559967,1.0,0.5,1.0
3,Walking,101696951636000,10.11,10.99,-0.57,864.600158,1.0,0.5,1.0
3,Walking,101696991462000,11.33,17.24,-1.04,864.639984,1.0,0.5,1.0
3,Walking,101697031470000,3.98,11.35,0.27,864.679992,1.0,0.5,1.0
3,Walking,101760121528000,-0.31,0.34,-5.94,927.77005,0.0,0.5,1.0
3,Walking,101760201636000,9.89,14.14,15.43,927.850158,0.0,0.5,1.0
3,Walking,101760241523000,7.35,10.0,6.09,927.890045,0.0,0.5,1.0
3,Walking,101760281653000,10.38,12.11,4.94,927.930175,0.0,0.5,1.0
3,Walking,101760361487000,-0.5,4.14,-3.83,928.010009,0.0,0.5,1.0
3,Walking,101760401465000,2.79,8.58,-3.99,928.049987,0.0,0.5,1.0
3,Walking,101760441505000,8.24,9.53,-2.15,928.090027,0.0,0.5,1.0
3,Walking,101760481483000,7.46,5.28,1.88,928.130005,0.0,0.5,1.0
3,Walking,101760561439000,6.7,4.67,-0.38,928.209961,0.0,0.5,1.0
3,Walking,101760601478000,5.33,4.79,-1.8,928.25,0.0,0.5,1.0
3,Walking,101760641639000,5.2,6.47,1.04,928.290161,0.0,0.5,1.0
3,Walking,101760681525000,8.2,10.19,7.12,928.330047,0.0,0.5,1.0
3,Walking,101760761603000,14.21,6.28,6.32,928.410125,0.0,0.5,1.0
3,Walking,101760801612000,12.15,9.38,-0.57,928.450134,0.0,0.5,1.0
3,Walking,101760841621000,11.22,10.8,-4.1,928.490143,0.0,0.5,1.0
3,Walking,101760881629000,11.18,16.78,-3.57,928.530151,0.0,0.5,1.0
3,Walking,101760921546000,5.01,14.33,0.3,928.570068,0.0,0.5,1.0
3,Walking,101761001807000,0.57,0.27,-1.84,928.650329,0.0,0.5,1.0
3,Walking,101761041480000,0.34,-0.23,-4.25,928.690002,0.0,0.5,1.0
3,Walking,101761081550000,-0.65,0.0,-4.44,928.730072,0.0,0.5,1.0
3,Walking,101761161475000,9.3,18.16,16.44,928.809997,0.0,0.5,1.0
3,Walking,101761201514000,3.49,8.28,2.3,928.850036,0.0,0.5,1.0
3,Walking,101761241523000,7.25,4.6,-0.89,928.890045,0.0,0.5,1.0
3,Walking,101761281501000,12.56,16.09,2.03,928.930023,0.0,0.5,1.0
3,Walking,101761321540000,1.33,4.29,-2.26,928.970062,0.0,0.5,1.0
3,Walking,101761401374000,10.15,10.8,-2.76,929.049896,0.0,0.5,1.0
3,Walking,101761441505000,8.66,7.12,-2.6,929.090027,0.0,0.5,1.0
3,Walking,101761481513000,4.37,2.64,1.53,929.130035,0.0,0.5,1.0
3,Walking,101761521613000,4.25,2.72,3.87,929.170135,0.0,0.5,1.0
3,Walking,101761601386000,6.63,6.97,2.41,929.249908,0.0,0.5,1.0
3,Walking,101761641517000,9.08,7.67,2.14,929.290039,0.0,0.5,1.0
3,Walking,101761681678000,10.42,7.25,1.5,929.3302,0.0,0.5,1.0
3,Walking,101761721534000,13.63,7.16,4.59,929.370056,0.0,0.5,1.0
3,Walking,101761801398000,11.03,10.61,-2.56,929.44992,0.0,0.5,1.0
3,Walking,101761841559000,10.92,14.79,-2.15,929.490081,0.0,0.5,1.0
