window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,6,Jogging,84.75,87.75,0.5,0.5,0.5
1,6,Jogging,56.25,59.25,1.0,1.0,0.5
2,6,Jogging,135.75,138.75,0.5,0.0,0.5
3,6,Jogging,53.25,56.25,0.5,0.5,0.5
4,6,Walking,10.5,13.5,0.0,0.0,0.5
5,6,Walking,558.75,561.75,0.5,0.5,1.0
6,6,Walking,612.0,615.0,1.0,1.0,1.0
7,6,Walking,355.5,358.5,1.0,1.0,1.0
8,6,Upstairs,33.75,36.75,0.0,0.0,1.0
9,6,Upstairs,83.25,86.25,0.5,0.5,0.5
10,6,Upstairs,3.0,6.0,0.0,0.0,1.0
11,6,Upstairs,128.25,131.25,1.0,1.0,1.0
12,6,Downstairs,62.25,65.25,0.0,0.0,0.5
13,6,Downstairs,43.5,46.5,0.0,0.0,0.5
14,6,Downstairs,39.75,42.75,0.0,0.0,1.0
15,6,Downstairs,73.5,76.5,0.0,0.5,0.5
16,6,Sitting,21.75,24.75,1.0,0.5,1.0
17,6,Sitting,59.25,62.25,1.0,0.5,1.0
18,6,Sitting,41.25,44.25,1.0,0.5,1.0
19,6,Sitting,60.0,63.0,1.0,0.5,1.0
20,6,Standing,23.25,26.25,0.0,0.5,0.5
21,6,Standing,4.5,7.5,0.0,0.5,0.5
22,6,Standing,5.25,8.25,0.0,0.5,0.5
23,6,Standing,8.25,11.25,1.0,1.0,1.0
24,6,Walking,8.25,11.25,0.0,0.5,1.0
