window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,12,Walking,44.25,47.25,0.5,0.5,0.5
1,12,Walking,45.0,48.0,0.5,0.5,0.5
2,12,Walking,160.5,163.5,0.0,0.5,0.5
3,12,Walking,962.25,965.25,0.0,0.5,0.5
4,12,Jogging,835.5,838.5,1.0,0.5,0.5
5,12,Jogging,1081.5,1084.5,0.5,0.5,0.5
6,12,Jogging,977.25,980.25,0.5,0.5,0.0
7,12,Jogging,1011.0,1014.0,0.5,0.5,0.5
8,12,Sitting,82.5,85.5,0.0,1.0,1.0
9,12,Sitting,54.0,57.0,0.0,1.0,1.0
10,12,Sitting,66.75,69.75,0.0,1.0,1.0
11,12,Sitting,49.5,52.5,0.0,1.0,1.0
12,12,Upstairs,188.25,191.25,0.0,0.0,0.0
13,12,Upstairs,22.5,25.5,0.0,0.0,0.0
14,12,Upstairs,26.25,29.25,0.5,0.5,0.0
15,12,Upstairs,190.5,193.5,0.0,0.0,0.0
16,12,Downstairs,585.0,588.0,0.0,0.5,0.0
17,12,Downstairs,143.25,146.25,0.5,0.5,0.0
18,12,Downstairs,32.25,35.25,0.0,0.0,0.0
19,12,Downstairs,308.25,311.25,0.5,0.5,0.5
20,12,Standing,55.5,58.5,0.0,1.0,1.0
21,12,Standing,31.5,34.5,0.0,1.0,1.0
22,12,Standing,25.5,28.5,0.0,1.0,1.0
23,12,Standing,16.5,19.5,0.0,1.0,1.0
24,12,Walking,828.75,831.75,0.5,0.5,0.5
