params,overall_accuracy,overall_f1,periodicity_accuracy,temporal_stability_accuracy,coordination_accuracy,periodicity_f1,temporal_stability_f1,coordination_f1,periodicity_recall,temporal_stability_recall,coordination_recall,training_time
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7351794871794871,0.68,0.76,0.8,0.7173333333333334,0.7215384615384616,0.7666666666666667,0.68,0.76,0.8,3.26957106590271
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7066666666666667,0.6844955044955046,0.64,0.76,0.72,0.6308571428571429,0.7215384615384616,0.7010909090909091,0.64,0.76,0.72,3.438868999481201
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.6666666666666666,0.6685167464114832,0.52,0.84,0.64,0.5381818181818181,0.8231578947368421,0.6442105263157895,0.52,0.84,0.64,3.621671199798584
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7333333333333333,0.7318152136053185,0.64,0.72,0.84,0.6619937304075235,0.7127272727272728,0.8207246376811593,0.64,0.72,0.84,3.212744951248169
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7504005439005438,0.72,0.76,0.8,0.7286666666666666,0.7575,0.765034965034965,0.72,0.76,0.8,3.3896970748901367
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.6666666666666666,0.652029304029304,0.52,0.72,0.76,0.524,0.6857142857142857,0.7463736263736265,0.52,0.72,0.76,3.5507500171661377
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7733333333333334,0.7586164502164502,0.72,0.8,0.8,0.6988311688311688,0.7970909090909092,0.7799272727272728,0.72,0.8,0.8,3.047494888305664
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7466666666666667,0.7114187047520381,0.72,0.76,0.76,0.6884848484848485,0.7215384615384616,0.7242328042328041,0.72,0.76,0.76,3.4436416625976562
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7200000000000001,0.6997191697191697,0.68,0.76,0.72,0.6876190476190476,0.7215384615384616,0.69,0.68,0.76,0.72,3.447885036468506
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7600000000000001,0.7538397937424307,0.64,0.84,0.8,0.660371352785146,0.8174117647058823,0.7837362637362637,0.64,0.84,0.8,3.3922359943389893
