user,activity,timestamp,x-axis,y-axis,z-axis,time_s,periodicity,temporal_stability,coordination,magnitude,motion_intensity,vertical_dominance,static_posture
3,Walking,101790131507000,1.76,0.46,-1.61,957.780029,1.0,0.5,0.5,2.4292591463242452,0.07216286759490388,0.4203655351382858,1.0
3,Walking,101790211616000,0.57,1.5,-2.3,957.860138,1.0,0.5,0.5,2.804442903679802,0.08572263971297932,0.5263157893532459,1.0
3,Walking,101790251594000,2.56,5.48,5.52,957.900116,1.0,0.5,0.5,8.18867510651143,0.2803178487801207,0.40707964598767843,0.0
3,Walking,101790291480000,11.73,14.9,17.08,957.940002,1.0,0.5,0.5,25.52115397077491,0.9067427913131265,0.39075726377509135,0.0
3,Walking,101790331550000,9.43,5.01,3.6,957.980072,1.0,0.5,0.5,11.268762132550318,0.3916373751671535,0.19955654100889378,0.0
3,Walking,101790411536000,10.38,13.21,3.45,958.060058,1.0,0.5,0.5,17.15083088366275,0.6042252345406874,0.12758875739173117,0.0
3,Walking,101790451514000,0.91,5.33,-0.69,958.100036,1.0,0.5,0.5,5.450972390317162,0.18137266730348817,0.09956709955273202,0.0
3,Walking,101790491492000,2.91,7.59,-2.6,958.140014,1.0,0.5,0.5,8.534412692154042,0.29281338671867957,0.19847328242759746,0.0
3,Walking,101790531623000,6.36,8.77,-3.21,958.180145,1.0,0.5,0.5,11.298964554329746,0.39272894149622284,0.17502726280397887,0.0
3,Walking,101790571540000,6.32,7.08,-1.69,958.220062,1.0,0.5,0.5,9.639756220984015,0.332762361239236,0.11199469846839001,0.0
3,Walking,101790651618000,5.52,3.41,0.95,958.30014,1.0,0.5,0.5,6.557514773143862,0.2213649704241766,0.09615384614411399,0.0
3,Walking,101790691444000,6.63,7.7,0.42,958.339966,1.0,0.5,0.5,10.169724676705854,0.3519163127322538,0.02847457626925596,0.0
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5,12.08124165804161,0.4210017519565871,0.02411021813868483,0.0
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5,12.08124165804161,0.4210017519565871,0.02411021813868483,0.0
3,Walking,101790851539000,11.22,6.09,1.5,958.500061,1.0,0.5,0.5,12.854046055619998,0.4489322028824747,0.07974481658268234,0.0
3,Walking,101790891761000,11.33,7.7,5.82,958.540283,1.0,0.5,0.5,14.883927573056784,0.5222955355521541,0.23420523137890523,0.0
3,Walking,101790931495000,10.8,8.16,-0.89,958.580017,1.0,0.5,0.5,13.565312381217028,0.4746385643687384,0.04483627203804351,0.0
3,Walking,101790971656000,11.65,10.27,-2.15,958.620178,1.0,0.5,0.5,15.678580930683747,0.5510156446481177,0.08932280847156947,0.0
3,Walking,101791051490000,5.43,11.45,0.15,958.700012,1.0,0.5,0.5,12.673196124103818,0.4423959821350372,0.008807985906705345,0.0
3,Walking,101791091590000,1.42,3.06,0.57,958.740112,1.0,0.5,0.5,3.421242464368756,0.10801481340520322,0.1128712871063621,0.0
3,Walking,101791131476000,1.08,0.72,-0.8,958.779998,1.0,0.5,0.5,1.5247294842036734,0.03947164402263409,0.3076923075739645,1.0
3,Walking,101791171668000,1.23,1.23,-3.41,958.82019,1.0,0.5,0.5,3.8280412745946197,0.12271720671627451,0.5809199317579353,0.0
3,Walking,101791251472000,0.38,3.41,-0.27,958.899994,1.0,0.5,0.5,3.441714688930505,0.10875471403886607,0.06650246303780727,0.0
3,Walking,101791291480000,13.82,16.74,17.43,958.940002,1.0,0.5,0.5,27.839269027760047,0.9905233689632649,0.3632006667980163,0.0
3,Walking,101791331519000,6.63,4.71,0.3,958.980041,1.0,0.5,0.5,8.138243053632644,0.27849514955320565,0.025773195874074464,0.0
