user,activity,timestamp,x-axis,y-axis,z-axis,time_s,periodicity,temporal_stability,coordination
12,Walking,17022071664000,-11.92,5.56,-3.87,44.270111,0.5,0.5,0.5
12,Walking,17022111520000,-8.73,4.6,-0.23,44.309967,0.5,0.5,0.5
12,Walking,17022151620000,-4.44,4.1,2.56,44.350067,0.5,0.5,0.5
12,Walking,17022231606000,-1.23,3.64,-2.18,44.430053,0.5,0.5,0.5
12,Walking,17022271523000,-2.26,-0.5,0.65,44.46997,0.5,0.5,0.5
12,Walking,17022312173000,-2.83,2.96,2.49,44.51062,0.5,0.5,0.5
12,Walking,17022351662000,-14.44,4.94,17.27,44.550109,0.5,0.5,0.5
12,Walking,17022431435000,-10.34,6.4,8.96,44.629882,0.5,0.5,0.5
12,Walking,17022471535000,-12.26,9.92,-0.42,44.669982,0.5,0.5,0.5
12,Walking,17022511636000,-6.59,0.69,-2.07,44.710083,0.5,0.5,0.5
12,Walking,17022551614000,-10.08,5.41,0.11,44.750061,0.5,0.5,0.5
12,Walking,17022631631000,-2.6,10.61,-5.28,44.830078,0.5,0.5,0.5
12,Walking,17022671822000,1.57,8.92,-3.64,44.870269,0.5,0.5,0.5
12,Walking,17022711587000,-1.65,6.78,-0.65,44.910034,0.5,0.5,0.5
12,Walking,17022751504000,-5.28,4.4,4.59,44.949951,0.5,0.5,0.5
12,Walking,17022831643000,-4.67,5.98,0.19,45.03009,0.5,0.5,0.5
12,Walking,17022872262000,-7.25,7.4,1.31,45.070709,0.5,0.5,0.5
12,Walking,17022911691000,-6.55,9.81,0.95,45.110138,0.5,0.5,0.5
12,Walking,17022911691000,-6.55,9.81,0.95,45.110138,0.5,0.5,0.5
12,Walking,17022999978000,-4.48,11.88,2.6,45.198425,0.5,0.5,0.5
12,Walking,17023082986000,-13.44,13.72,-6.17,45.281433,0.5,0.5,0.5
12,Walking,17023123666000,-12.37,7.31,-3.53,45.322113,0.5,0.5,0.5
12,Walking,17023161507000,-9.3,4.44,-1.76,45.359954,0.5,0.5,0.5
12,Walking,17023201638000,-5.18,3.53,-0.69,45.400085,0.5,0.5,0.5
12,Walking,17023286172000,-1.69,3.45,-0.57,45.484619,0.5,0.5,0.5
12,Walking,17023321786000,-1.42,2.18,1.23,45.520233,0.5,0.5,0.5
12,Walking,17023361550000,-3.45,0.84,1.31,45.559997,0.5,0.5,0.5
12,Walking,17023401681000,-12.76,2.96,12.68,45.600128,0.5,0.5,0.5
12,Walking,17023481515000,-6.36,2.07,7.35,45.679962,0.5,0.5,0.5
12,Walking,17023521645000,-9.04,9.3,5.33,45.720092,0.5,0.5,0.5
12,Walking,17023561471000,-13.06,7.25,-1.92,45.759918,0.5,0.5,0.5
12,Walking,17023601662000,-8.31,3.15,-1.38,45.800109,0.5,0.5,0.5
12,Walking,17023681863000,-7.46,8.35,-5.67,45.88031,0.5,0.5,0.5
12,Walking,17023722543000,-0.5,7.46,-5.33,45.92099,0.5,0.5,0.5
12,Walking,17023761544000,-0.89,8.2,-3.11,45.959991,0.5,0.5,0.5
12,Walking,17023802712000,-4.1,6.05,1.18,46.001159,0.5,0.5,0.5
12,Walking,17023881631000,-4.94,6.13,0.8,46.080078,0.5,0.5,0.5
12,Walking,17023921639000,-4.9,6.78,-0.27,46.120086,0.5,0.5,0.5
12,Walking,17023961495000,-6.7,8.08,2.83,46.159942,0.5,0.5,0.5
12,Walking,17024001961000,-4.21,10.57,1.46,46.200408,0.5,0.5,0.5
12,Walking,17024082284000,-5.63,13.06,1.69,46.280731,0.5,0.5,0.5
12,Walking,17024123757000,-7.82,11.73,-2.45,46.322204,0.5,0.5,0.5
12,Walking,17024161629000,-13.76,12.34,-4.44,46.360076,0.5,0.5,0.5
12,Walking,17024201699000,-13.1,8.24,-3.79,46.400146,0.5,0.5,0.5
12,Walking,17024281625000,-6.24,4.44,1.31,46.480072,0.5,0.5,0.5
12,Walking,17024321664000,-2.41,5.41,-3.26,46.520111,0.5,0.5,0.5
12,Walking,17024361520000,-2.3,5.28,-4.79,46.559967,0.5,0.5,0.5
12,Walking,17024401620000,-2.91,0.42,0.23,46.600067,0.5,0.5,0.5
12,Walking,17024481667000,-7.59,3.53,10.31,46.680114,0.5,0.5,0.5
12,Walking,17024521676000,-17.62,5.94,12.18,46.720123,0.5,0.5,0.5
12,Walking,17024561501000,-9.7,4.25,7.93,46.759948,0.5,0.5,0.5
12,Walking,17024601693000,-12.07,10.65,10.46,46.80014,0.5,0.5,0.5
12,Walking,17024681649000,-7.59,1.54,-1.12,46.880096,0.5,0.5,0.5
12,Walking,17024721993000,-13.63,8.05,-1.88,46.92044,0.5,0.5,0.5
12,Walking,17024761544000,-9.92,9.53,-4.67,46.959991,0.5,0.5,0.5
12,Walking,17024801675000,-0.61,9.11,-4.44,47.000122,0.5,0.5,0.5
12,Walking,17024881722000,-2.98,5.86,0.91,47.080169,0.5,0.5,0.5
12,Walking,17024921639000,-6.17,4.48,4.21,47.120086,0.5,0.5,0.5
12,Walking,17024961495000,-5.67,6.05,0.5,47.159942,0.5,0.5,0.5
12,Walking,17025001687000,-5.86,5.28,1.57,47.200134,0.5,0.5,0.5
12,Walking,17022831643000,-4.67,5.98,0.19,45.03009,0.5,0.5,0.5
12,Walking,17022872262000,-7.25,7.4,1.31,45.070709,0.5,0.5,0.5
12,Walking,17022911691000,-6.55,9.81,0.95,45.110138,0.5,0.5,0.5
12,Walking,17022911691000,-6.55,9.81,0.95,45.110138,0.5,0.5,0.5
12,Walking,17022999978000,-4.48,11.88,2.6,45.198425,0.5,0.5,0.5
12,Walking,17023082986000,-13.44,13.72,-6.17,45.281433,0.5,0.5,0.5
12,Walking,17023123666000,-12.37,7.31,-3.53,45.322113,0.5,0.5,0.5
12,Walking,17023161507000,-9.3,4.44,-1.76,45.359954,0.5,0.5,0.5
12,Walking,17023201638000,-5.18,3.53,-0.69,45.400085,0.5,0.5,0.5
12,Walking,17023286172000,-1.69,3.45,-0.57,45.484619,0.5,0.5,0.5
12,Walking,17023321786000,-1.42,2.18,1.23,45.520233,0.5,0.5,0.5
12,Walking,17023361550000,-3.45,0.84,1.31,45.559997,0.5,0.5,0.5
12,Walking,17023401681000,-12.76,2.96,12.68,45.600128,0.5,0.5,0.5
12,Walking,17023481515000,-6.36,2.07,7.35,45.679962,0.5,0.5,0.5
12,Walking,17023521645000,-9.04,9.3,5.33,45.720092,0.5,0.5,0.5
12,Walking,17023561471000,-13.06,7.25,-1.92,45.759918,0.5,0.5,0.5
12,Walking,17023601662000,-8.31,3.15,-1.38,45.800109,0.5,0.5,0.5
12,Walking,17023681863000,-7.46,8.35,-5.67,45.88031,0.5,0.5,0.5
12,Walking,17023722543000,-0.5,7.46,-5.33,45.92099,0.5,0.5,0.5
12,Walking,17023761544000,-0.89,8.2,-3.11,45.959991,0.5,0.5,0.5
