user,activity,timestamp,x-axis,y-axis,z-axis,time_s,periodicity,temporal_stability,coordination,movement_variability,movement_consistency
3,Walking,101790131507000,1.76,0.46,-1.61,957.780029,1.0,0.5,0.5,0.7337649212987,0.5506029732595041
3,Walking,101790211616000,0.57,1.5,-2.3,957.860138,1.0,0.5,0.5,0.7192760361178727,0.5495816599746824
3,Walking,101790251594000,2.56,5.48,5.52,957.900116,1.0,0.5,0.5,0.7181617877178404,0.5451236471499883
3,Walking,101790291480000,11.73,14.9,17.08,957.940002,1.0,0.5,0.5,0.7056511563643462,0.5505132339295639
3,Walking,101790331550000,9.43,5.01,3.6,957.980072,1.0,0.5,0.5,0.6946445097601717,0.5486062446031937
3,Walking,101790411536000,10.38,13.21,3.45,958.060058,1.0,0.5,0.5,0.6898062115321149,0.5421187603800323
3,Walking,101790451514000,0.91,5.33,-0.69,958.100036,1.0,0.5,0.5,0.6860622706483613,0.5535603054855399
3,Walking,101790491492000,2.91,7.59,-2.6,958.140014,1.0,0.5,0.5,0.6750487708365159,0.55545084922802
3,Walking,101790531623000,6.36,8.77,-3.21,958.180145,1.0,0.5,0.5,0.664707225349572,0.5551166976837703
3,Walking,101790571540000,6.32,7.08,-1.69,958.220062,1.0,0.5,0.5,0.6552969630771763,0.555749885392218
3,Walking,101790651618000,5.52,3.41,0.95,958.30014,1.0,0.5,0.5,0.6525593548992396,0.5588018685519761
3,Walking,101790691444000,6.63,7.7,0.42,958.339966,1.0,0.5,0.5,0.6481858342636185,0.5670767807165896
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5,0.6491856169482236,0.5769619558086463
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5,0.6660058039132707,0.5984027971944558
3,Walking,101790851539000,11.22,6.09,1.5,958.500061,1.0,0.5,0.5,0.6668722797974382,0.5674311700398108
3,Walking,101790891761000,11.33,7.7,5.82,958.540283,1.0,0.5,0.5,0.6771798631840898,0.5864388901356938
3,Walking,101790931495000,10.8,8.16,-0.89,958.580017,1.0,0.5,0.5,0.6785915343128938,0.6048677511634161
3,Walking,101790971656000,11.65,10.27,-2.15,958.620178,1.0,0.5,0.5,0.680633498887326,0.6179960920064105
3,Walking,101791051490000,5.43,11.45,0.15,958.700012,1.0,0.5,0.5,0.7141408097983964,0.5789643777043868
3,Walking,101791091590000,1.42,3.06,0.57,958.740112,1.0,0.5,0.5,0.7076681397711692,0.5868104493280607
3,Walking,101791131476000,1.08,0.72,-0.8,958.779998,1.0,0.5,0.5,0.7143941894263239,0.5926476962319777
3,Walking,101791171668000,1.23,1.23,-3.41,958.82019,1.0,0.5,0.5,0.7114651982125161,0.5768366053833646
3,Walking,101791251472000,0.38,3.41,-0.27,958.899994,1.0,0.5,0.5,0.7037371496974237,0.5756547998885883
3,Walking,101791291480000,13.82,16.74,17.43,958.940002,1.0,0.5,0.5,0.696280980930867,0.5757397015394232
3,Walking,101791331519000,6.63,4.71,0.3,958.980041,1.0,0.5,0.5,0.6890872744610219,0.5755074768211011
3,Walking,101791371528000,9.0,6.89,-2.07,959.02005,1.0,0.5,0.5,0.682396565469553,0.5758254423223113
3,Walking,101791451484000,1.08,3.87,-1.04,959.100006,1.0,0.5,0.5,0.6720059736730001,0.5606979741925675
3,Walking,101791491492000,4.75,6.59,-2.49,959.140014,1.0,0.5,0.5,0.6613382590820318,0.5577121171093796
3,Walking,101791531470000,8.39,9.04,-2.45,959.179992,1.0,0.5,0.5,0.6625899396304684,0.5707032601243688
3,Walking,101791611457000,3.98,3.49,0.72,959.259979,1.0,0.5,0.5,0.6228630956355055,0.576414209676847
3,Walking,101791651496000,4.02,2.79,0.38,959.300018,1.0,0.5,0.5,0.6265848188925709,0.5814907780610616
3,Walking,101791691474000,6.51,5.79,2.75,959.339996,1.0,0.5,0.5,0.626581915658766,0.6033292171332649
