window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,3,Walking,59.25,62.25,0.5,0.5,0.5
1,3,Walking,861.75,864.75,1.0,0.5,1.0
2,3,Walking,927.75,930.75,0.0,0.5,1.0
3,3,Walking,135.75,138.75,0.5,0.0,0.0
4,3,Jogging,343.5,346.5,1.0,0.0,1.0
5,3,Jogging,6.0,9.0,1.0,0.0,0.5
6,3,Jogging,245.25,248.25,1.0,0.0,0.0
7,3,Jogging,342.0,345.0,1.0,0.0,0.0
8,3,Sitting,75.0,78.0,0.0,1.0,0.5
9,3,Sitting,21.75,24.75,0.0,1.0,0.5
10,3,Sitting,72.75,75.75,0.0,1.0,0.5
11,3,Sitting,10.5,13.5,0.0,1.0,0.5
12,3,Standing,126.0,129.0,0.0,1.0,0.5
13,3,Standing,76.5,79.5,0.0,1.0,0.5
14,3,Standing,15.75,18.75,0.0,1.0,0.5
15,3,Standing,74.25,77.25,0.0,1.0,0.5
16,3,Upstairs,435.75,438.75,0.5,0.5,0.5
17,3,Upstairs,449.25,452.25,0.5,0.5,0.5
18,3,Upstairs,172.5,175.5,1.0,0.5,1.0
19,3,Upstairs,444.75,447.75,1.0,0.5,0.5
20,3,Downstairs,162.75,165.75,0.5,0.0,0.5
21,3,Downstairs,422.25,425.25,0.0,0.5,0.0
22,3,Downstairs,298.5,301.5,0.0,0.0,0.0
23,3,Downstairs,404.25,407.25,0.0,0.0,0.0
24,3,Jogging,973.5,976.5,1.0,0.0,0.5
0,5,Walking,612.75,615.75,0.5,0.5,0.0
1,5,Walking,402.75,405.75,1.0,0.5,0.5
2,5,Walking,497.25,500.25,0.5,0.5,0.0
3,5,Walking,155.25,158.25,1.0,1.0,0.5
4,5,Jogging,219.0,222.0,1.0,0.5,1.0
5,5,Jogging,264.0,267.0,1.0,1.0,0.5
6,5,Jogging,135.0,138.0,1.0,1.0,0.5
7,5,Jogging,278.25,281.25,0.5,0.5,0.5
8,5,Upstairs,237.75,240.75,0.5,0.5,0.5
9,5,Upstairs,22.5,25.5,0.5,0.5,0.5
10,5,Upstairs,33.0,36.0,0.5,0.5,0.5
11,5,Upstairs,460.5,463.5,0.5,0.5,1.0
12,5,Downstairs,46.5,49.5,0.5,0.5,0.5
13,5,Downstairs,219.0,222.0,0.5,0.5,0.0
14,5,Downstairs,366.75,369.75,0.5,0.5,0.5
15,5,Downstairs,41.25,44.25,0.5,0.5,0.5
16,5,Sitting,29.25,32.25,0.0,1.0,1.0
17,5,Sitting,1.5,4.5,0.0,1.0,1.0
18,5,Sitting,75.75,78.75,0.0,1.0,1.0
19,5,Sitting,79.5,82.5,0.0,1.0,1.0
20,5,Standing,14.25,17.25,0.0,0.5,1.0
21,5,Standing,19.5,22.5,0.0,0.0,1.0
22,5,Standing,43.5,46.5,0.0,0.5,1.0
23,5,Standing,50.25,53.25,0.0,0.5,1.0
24,5,Jogging,301.5,304.5,1.0,1.0,1.0
