window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,3,Walking,170.25,173.25,0.5,0,0.5
1,3,Walking,156,159,0.5,0,0.5
2,3,Walking,123,126,0.5,0.5,0.5
3,3,Walking,207.75,210.75,0.5,0,0.5
4,3,Jogging,80.25,83.25,1,1,1
5,3,Jogging,173.25,176.25,1,0.5,0.5
6,3,Jogging,83.25,86.25,1,0.5,0.5
7,3,Jogging,127.5,130.5,1,1,0.5
8,3,Sitting,47.25,50.25,0,1,1
9,3,Sitting,70.5,73.5,0,1,1
10,3,Sitting,39,42,0,1,1
11,3,Sitting,66,69,0,1,1
12,3,Standing,12,15,0,1,1
13,3,Standing,117,120,0,1,0.5
14,3,Standing,4.5,7.5,0,1,0.5
15,3,Standing,105.75,108.75,0,1,0.5
16,3,Upstairs,29.25,32.25,0.5,0.5,0.5
17,3,Upstairs,445.5,448.5,0.5,1,1
18,3,Upstairs,482.25,485.25,0.5,0,0.5
19,3,Upstairs,149.25,152.25,1,0,1
20,3,Downstairs,138.75,141.75,0.5,0,1
21,3,Downstairs,484.5,487.5,0.5,0,0.5
22,3,Downstairs,150.75,153.75,0.4,0,0.5
23,3,Downstairs,271.5,274.5,0,0,0.5
24,3,Walking,168.75,171.75,0.5,0,0.5
