user,activity,timestamp,x-axis,y-axis,z-axis,time_s,periodicity,temporal_stability,coordination
3,Walking,101790131507000,1.76,0.46,-1.61,957.780029,1.0,0.5,0.5
3,Walking,101790211616000,0.57,1.5,-2.3,957.860138,1.0,0.5,0.5
3,Walking,101790251594000,2.56,5.48,5.52,957.900116,1.0,0.5,0.5
3,Walking,101790291480000,11.73,14.9,17.08,957.940002,1.0,0.5,0.5
3,Walking,101790331550000,9.43,5.01,3.6,957.980072,1.0,0.5,0.5
3,Walking,101790411536000,10.38,13.21,3.45,958.060058,1.0,0.5,0.5
3,Walking,101790451514000,0.91,5.33,-0.69,958.100036,1.0,0.5,0.5
3,Walking,101790491492000,2.91,7.59,-2.6,958.140014,1.0,0.5,0.5
3,Walking,101790531623000,6.36,8.77,-3.21,958.180145,1.0,0.5,0.5
3,Walking,101790571540000,6.32,7.08,-1.69,958.220062,1.0,0.5,0.5
3,Walking,101790651618000,5.52,3.41,0.95,958.30014,1.0,0.5,0.5
3,Walking,101790691444000,6.63,7.7,0.42,958.339966,1.0,0.5,0.5
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5
3,Walking,101790811286000,9.3,7.7,0.42,958.459808,1.0,0.5,0.5
3,Walking,101790851539000,11.22,6.09,1.5,958.500061,1.0,0.5,0.5
3,Walking,101790891761000,11.33,7.7,5.82,958.540283,1.0,0.5,0.5
3,Walking,101790931495000,10.8,8.16,-0.89,958.580017,1.0,0.5,0.5
3,Walking,101790971656000,11.65,10.27,-2.15,958.620178,1.0,0.5,0.5
3,Walking,101791051490000,5.43,11.45,0.15,958.700012,1.0,0.5,0.5
3,Walking,101791091590000,1.42,3.06,0.57,958.740112,1.0,0.5,0.5
3,Walking,101791131476000,1.08,0.72,-0.8,958.779998,1.0,0.5,0.5
3,Walking,101791171668000,1.23,1.23,-3.41,958.82019,1.0,0.5,0.5
3,Walking,101791251472000,0.38,3.41,-0.27,958.899994,1.0,0.5,0.5
3,Walking,101791291480000,13.82,16.74,17.43,958.940002,1.0,0.5,0.5
3,Walking,101791331519000,6.63,4.71,0.3,958.980041,1.0,0.5,0.5
3,Walking,101791371528000,9.0,6.89,-2.07,959.02005,1.0,0.5,0.5
3,Walking,101791451484000,1.08,3.87,-1.04,959.100006,1.0,0.5,0.5
3,Walking,101791491492000,4.75,6.59,-2.49,959.140014,1.0,0.5,0.5
3,Walking,101791531470000,8.39,9.04,-2.45,959.179992,1.0,0.5,0.5
3,Walking,101791611457000,3.98,3.49,0.72,959.259979,1.0,0.5,0.5
3,Walking,101791651496000,4.02,2.79,0.38,959.300018,1.0,0.5,0.5
3,Walking,101791691474000,6.51,5.79,2.75,959.339996,1.0,0.5,0.5
3,Walking,101791731635000,8.54,6.13,3.21,959.380157,1.0,0.5,0.5
3,Walking,101791771522000,8.31,8.05,1.04,959.420044,1.0,0.5,0.5
3,Walking,101791851478000,11.95,7.4,5.43,959.5,1.0,0.5,0.5
3,Walking,101791891608000,11.84,8.35,-0.5,959.54013,1.0,0.5,0.5
3,Walking,101791931617000,12.83,10.19,-1.95,959.580139,1.0,0.5,0.5
3,Walking,101791971534000,12.98,15.89,-1.65,959.620056,1.0,0.5,0.5
3,Walking,101792051642000,2.22,3.41,1.46,959.700164,1.0,0.5,0.5
3,Walking,101792091468000,0.84,0.89,-0.84,959.73999,1.0,0.5,0.5
3,Walking,101792131660000,0.53,1.14,-3.41,959.780182,1.0,0.5,0.5
3,Walking,101792211433000,-1.23,1.08,-2.79,959.859955,1.0,0.5,0.5
3,Walking,101792251655000,12.07,15.36,14.21,959.900177,1.0,0.5,0.5
3,Walking,101792291450000,9.49,9.47,0.0,959.939972,1.0,0.5,0.5
3,Walking,101792331519000,12.53,14.21,2.56,959.980041,1.0,0.5,0.5
3,Walking,101792371650000,2.03,3.72,-3.34,960.020172,1.0,0.5,0.5
3,Walking,101792451484000,4.63,8.81,-4.9,960.100006,1.0,0.5,0.5
3,Walking,101792491492000,7.08,8.62,-0.99,960.140014,1.0,0.5,0.5
3,Walking,101792531470000,7.82,5.09,2.53,960.179992,1.0,0.5,0.5
3,Walking,101792571540000,5.86,1.54,6.63,960.220062,1.0,0.5,0.5
3,Walking,101792651465000,5.2,5.22,-1.12,960.299987,1.0,0.5,0.5
3,Walking,101792691444000,5.75,6.24,-0.57,960.339966,1.0,0.5,0.5
3,Walking,101792731635000,9.08,9.62,5.48,960.380157,1.0,0.5,0.5
3,Walking,101792771552000,12.41,7.4,3.72,960.420074,1.0,0.5,0.5
3,Walking,101792851569000,12.15,8.69,-0.57,960.500091,1.0,0.5,0.5
3,Walking,101792891578000,10.61,12.95,-3.72,960.5401,1.0,0.5,0.5
3,Walking,101792931647000,8.2,16.21,-2.96,960.580169,1.0,0.5,0.5
3,Walking,101793011603000,0.99,1.95,-0.65,960.660125,1.0,0.5,0.5
3,Walking,101793051490000,1.31,0.31,-1.92,960.700012,1.0,0.5,0.5
3,Walking,101793091590000,2.07,0.95,-3.99,960.740112,1.0,0.5,0.5
3,Walking,100874381476000,-4.94,4.82,-1.04,42.029998,1.0,0.5,0.5
3,Walking,100874421516000,-4.33,9.81,-1.08,42.070038,1.0,0.5,0.5
3,Walking,100874421516000,-4.33,9.81,-1.08,42.070038,1.0,0.5,0.5
3,Walking,100874551581000,1.04,7.59,1.12,42.200103,1.0,0.5,0.5
3,Walking,100874591468000,-0.72,8.62,-0.72,42.23999,1.0,0.5,0.5
3,Walking,100874631568000,-1.61,7.93,0.38,42.28009,1.0,0.5,0.5
3,Walking,100874671638000,-2.83,10.73,5.13,42.32016,1.0,0.5,0.5
3,Walking,100874751502000,0.8,11.99,2.45,42.400024,1.0,0.5,0.5
3,Walking,100874791633000,-2.83,13.57,4.9,42.440155,1.0,0.5,0.5
3,Walking,100874831519000,-2.03,13.1,-2.34,42.480041,1.0,0.5,0.5
3,Walking,100874871589000,-1.18,15.21,-3.91,42.520111,1.0,0.5,0.5
3,Walking,100874951514000,-4.44,11.14,1.92,42.600036,1.0,0.5,0.5
3,Walking,100875001594000,-2.03,3.68,-0.27,42.650116,1.0,0.5,0.5
3,Walking,100875041541000,-1.14,2.03,-2.18,42.690063,1.0,0.5,0.5
3,Walking,100875081550000,-1.88,1.88,-2.83,42.730072,1.0,0.5,0.5
3,Walking,100875121558000,-3.06,1.99,-2.07,42.77008,1.0,0.5,0.5
3,Walking,100875201545000,-5.79,15.51,15.36,42.850067,1.0,0.5,0.5
3,Walking,100875241523000,3.26,6.44,3.36,42.890045,1.0,0.5,0.5
3,Walking,100875281531000,0.5,14.21,-1.23,42.930053,1.0,0.5,0.5
3,Walking,100875321570000,-6.63,14.79,0.34,42.970092,1.0,0.5,0.5
3,Walking,100875401527000,-4.94,8.5,-1.61,43.050049,1.0,0.5,0.5
3,Walking,100875441535000,-2.87,10.27,-0.69,43.090057,1.0,0.5,0.5
3,Walking,100875481605000,-0.84,9.08,0.11,43.130127,1.0,0.5,0.5
3,Walking,100875521766000,0.15,6.63,0.84,43.170288,1.0,0.5,0.5
3,Walking,100875603278000,-0.15,7.63,0.46,43.2518,1.0,0.5,0.5
3,Walking,100875641608000,-1.76,10.27,1.57,43.29013,1.0,0.5,0.5
3,Walking,100875681617000,-2.37,10.65,3.57,43.330139,1.0,0.5,0.5
3,Walking,100875721534000,0.53,12.07,-0.65,43.370056,1.0,0.5,0.5
3,Walking,100875801612000,-2.34,13.59,2.68,43.450134,1.0,0.5,0.5
3,Walking,100875846259000,-1.08,13.95,-3.68,43.494781,1.0,0.5,0.5
3,Walking,100875884650000,-1.99,15.05,-2.6,43.533172,1.0,0.5,0.5
3,Walking,100875921851000,-3.87,15.21,-1.04,43.570373,1.0,0.5,0.5
3,Walking,100876001502000,-1.38,2.98,-0.89,43.650024,1.0,0.5,0.5
3,Walking,100876041480000,-0.76,1.8,-2.64,43.690002,1.0,0.5,0.5
3,Walking,100876081519000,-1.46,2.41,-2.96,43.730041,1.0,0.5,0.5
3,Walking,100876121528000,-2.68,2.03,-1.95,43.77005,1.0,0.5,0.5
3,Walking,100876201545000,-4.21,16.89,14.98,43.850067,1.0,0.5,0.5
3,Walking,100876241523000,0.19,9.92,4.82,43.890045,1.0,0.5,0.5
3,Walking,100876281562000,-1.57,11.8,2.49,43.930084,1.0,0.5,0.5
3,Walking,100876321570000,-6.97,14.18,-1.88,43.970092,1.0,0.5,0.5
3,Walking,100876401527000,-4.99,8.81,-0.95,44.050049,1.0,0.5,0.5
3,Walking,100876441535000,-3.15,11.54,-1.08,44.090057,1.0,0.5,0.5
3,Walking,100876481513000,-0.38,8.92,-0.53,44.130035,1.0,0.5,0.5
3,Walking,100876521735000,1.12,5.52,2.34,44.170257,1.0,0.5,0.5
3,Walking,100876601569000,-0.89,8.16,-0.65,44.250091,1.0,0.5,0.5
3,Walking,100876641517000,-1.88,9.04,0.65,44.290039,1.0,0.5,0.5
3,Walking,100876681556000,-2.3,10.84,4.48,44.330078,1.0,0.5,0.5
3,Walking,100876721564000,-0.34,11.18,-0.61,44.370086,1.0,0.5,0.5
3,Walking,100876801581000,-1.27,14.18,3.64,44.450103,1.0,0.5,0.5
3,Walking,100876841498000,-2.18,13.33,-2.87,44.49002,1.0,0.5,0.5
3,Walking,100876961371000,-3.87,11.5,2.68,44.609893,1.0,0.5,0.5
3,Walking,100876961371000,-3.87,11.5,2.68,44.609893,1.0,0.5,0.5
3,Walking,100877002051000,-1.14,4.79,0.0,44.650573,1.0,0.5,0.5
3,Walking,100877041541000,-0.93,2.87,-1.61,44.690063,1.0,0.5,0.5
3,Walking,100877081550000,-1.69,2.11,-2.37,44.730072,1.0,0.5,0.5
3,Walking,100877121497000,-2.96,0.99,-2.49,44.770019,1.0,0.5,0.5
3,Walking,100877201545000,-3.79,17.77,17.5,44.850067,1.0,0.5,0.5
3,Walking,100877241523000,-3.68,10.08,6.43,44.890045,1.0,0.5,0.5
3,Walking,100877281531000,1.12,5.79,2.75,44.930053,1.0,0.5,0.5
3,Walking,100877321509000,-4.02,12.22,-2.15,44.970031,1.0,0.5,0.5
3,Walking,101703851508000,0.69,2.96,-0.08,871.50003,0.5,0.5,0.5
3,Walking,101703891578000,0.61,0.99,-1.65,871.5401,0.5,0.5,0.5
3,Walking,101703931525000,0.76,1.61,-3.83,871.580047,0.5,0.5,0.5
3,Walking,101703971656000,-0.11,1.99,-3.34,871.620178,0.5,0.5,0.5
3,Walking,101704051520000,12.91,16.74,17.24,871.700042,0.5,0.5,0.5
3,Walking,101704091468000,5.24,6.02,3.57,871.73999,0.5,0.5,0.5
3,Walking,101704131660000,5.79,5.98,-0.84,871.780182,0.5,0.5,0.5
3,Walking,101704171546000,7.35,16.86,-1.73,871.820068,0.5,0.5,0.5
3,Walking,101704251411000,3.26,5.56,-2.37,871.899933,0.5,0.5,0.5
