window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,3,Walking,957.75,960.75,1.0,0.5,0.5
1,3,Walking,42.0,45.0,1.0,0.5,0.5
2,3,Walking,871.5,874.5,0.5,0.5,0.5
3,3,Walking,63.0,66.0,1.0,0.5,0.5
4,3,Jogging,117.75,120.75,1.0,0.5,0.5
5,3,Jogging,993.75,996.75,1.0,0.5,0.5
6,3,Jogging,941.25,944.25,1.0,0.5,0.5
7,3,Jogging,3.0,6.0,1.0,1.0,1.0
8,3,Sitting,11.25,14.25,0.0,1.0,1.0
9,3,Sitting,39.75,42.75,0.0,1.0,1.0
10,3,Sitting,0.75,3.75,0.0,1.0,1.0
11,3,Sitting,60.0,63.0,0.0,1.0,1.0
12,3,Standing,105.75,108.75,0.0,1.0,1.0
13,3,Standing,69.75,72.75,0.0,0.5,1.0
14,3,Standing,111.0,114.0,0.0,1.0,1.0
15,3,Standing,1.5,4.5,0.0,0.5,1.0
16,3,Upstairs,37.5,40.5,0.5,0.5,0.5
17,3,Upstairs,303.0,306.0,0.0,0.5,0.5
18,3,Upstairs,15.0,18.0,0.0,0.5,0.5
19,3,Upstairs,26.25,29.25,0.0,0.5,0.5
20,3,Downstairs,33.0,36.0,0.5,1.0,1.0
21,3,Downstairs,295.5,298.5,0.5,0.5,0.5
22,3,Downstairs,167.25,170.25,0.0,0.5,1.0
23,3,Downstairs,9.75,12.75,0.0,0.5,0.5
24,3,Jogging,118.5,121.5,1.0,0.5,0.5
0,5,Walking,60.75,63.75,0.5,0.5,0.5
1,5,Walking,601.5,604.5,0.5,0.5,0.0
2,5,Walking,6.0,9.0,1.0,0.5,0.5
3,5,Walking,180.75,183.75,0.0,0.5,0.5
4,5,Jogging,216.75,219.75,0.5,0.5,1.0
5,5,Jogging,179.25,182.25,1.0,0.5,1.0
6,5,Jogging,249.75,252.75,1.0,0.5,1.0
7,5,Jogging,107.25,110.25,1.0,0.5,1.0
8,5,Upstairs,39.75,42.75,0.0,0.5,0.0
9,5,Upstairs,230.25,233.25,0.0,0.5,0.5
10,5,Upstairs,239.25,242.25,0.0,0.0,0.5
11,5,Upstairs,240.0,243.0,0.0,0.0,0.5
12,5,Downstairs,219.75,222.75,0.0,0.5,0.0
13,5,Downstairs,228.0,231.0,0.0,0.5,0.5
14,5,Downstairs,185.25,188.25,0.0,0.5,1.0
15,5,Downstairs,191.25,194.25,0.5,0.5,0.5
16,5,Sitting,65.25,68.25,0.0,0.5,1.0
17,5,Sitting,1.5,4.5,0.0,1.0,1.0
18,5,Sitting,46.5,49.5,0.0,1.0,1.0
19,5,Sitting,33.75,36.75,0.0,1.0,1.0
20,5,Standing,70.5,73.5,0.0,1.0,1.0
21,5,Standing,31.5,34.5,0.0,0.5,1.0
22,5,Standing,42.0,45.0,0.0,0.5,1.0
23,5,Standing,38.25,41.25,0.0,1.0,1.0
24,5,Walking,94.5,97.5,0.5,0.5,1.0
0,6,Jogging,486.75,489.75,0.5,0.5,0.5
1,6,Jogging,198.75,201.75,0.5,0.5,0.5
2,6,Jogging,83.25,86.25,0.0,0.5,0.5
3,6,Jogging,225.75,228.75,0.0,0.5,0.5
4,6,Walking,385.5,388.5,0.5,0.5,0.5
5,6,Walking,498.0,501.0,1.0,0.0,0.5
6,6,Walking,534.0,537.0,0.5,0.5,1.0
7,6,Walking,367.5,370.5,1.0,0.5,1.0
8,6,Upstairs,91.5,94.5,0.0,0.0,0.0
9,6,Upstairs,131.25,134.25,0.0,0.5,0.5
10,6,Upstairs,4.5,7.5,0.0,0.0,0.5
11,6,Upstairs,107.25,110.25,0.5,0.5,1.0
12,6,Downstairs,94.5,97.5,0.0,0.5,0.5
13,6,Downstairs,132.0,135.0,0.5,0.0,0.5
14,6,Downstairs,93.75,96.75,0.0,0.0,0.5
15,6,Downstairs,39.0,42.0,0.0,0.5,1.0
16,6,Sitting,29.25,32.25,0.0,1.0,1.0
17,6,Sitting,42.0,45.0,0.0,1.0,1.0
18,6,Sitting,22.5,25.5,0.0,1.0,1.0
19,6,Sitting,11.25,14.25,0.0,1.0,1.0
20,6,Standing,18.75,21.75,0.0,0.5,1.0
21,6,Standing,5.25,8.25,0.0,0.5,1.0
22,6,Standing,30.0,33.0,0.0,1.0,1.0
23,6,Standing,7.5,10.5,0.0,1.0,1.0
24,6,Jogging,99.75,102.75,0.0,0.0,0.0
0,7,Jogging,75.75,78.75,0.5,0.5,0.5
1,7,Jogging,798.75,801.75,1.0,1.0,0.5
2,7,Jogging,335.25,338.25,1.0,1.0,0.5
3,7,Jogging,694.5,697.5,1.0,1.0,0.5
4,7,Walking,594.0,597.0,1.0,0.5,1.0
5,7,Walking,530.25,533.25,1.0,0.5,0.5
6,7,Walking,271.5,274.5,1.0,0.5,0.5
7,7,Walking,638.25,641.25,0.5,0.5,0.5
8,7,Upstairs,3.0,6.0,0.5,0.5,0.5
9,7,Upstairs,357.0,360.0,0.0,0.5,1.0
10,7,Upstairs,133.5,136.5,0.0,0.5,1.0
11,7,Upstairs,325.5,328.5,0.0,0.5,0.5
12,7,Downstairs,234.75,237.75,0.0,0.5,0.5
13,7,Downstairs,134.25,137.25,0.5,0.5,0.5
14,7,Downstairs,1.5,4.5,0.0,0.5,1.0
15,7,Downstairs,132.0,135.0,0.0,0.5,0.5
16,7,Standing,66.75,69.75,0.5,1.0,1.0
17,7,Standing,76.5,79.5,0.0,1.0,1.0
18,7,Standing,51.0,54.0,0.5,1.0,1.0
19,7,Standing,6.75,9.75,0.0,1.0,1.0
20,7,Sitting,64.5,67.5,0.0,1.0,1.0
21,7,Sitting,92.25,95.25,0.0,1.0,1.0
22,7,Sitting,87.75,90.75,0.0,1.0,1.0
23,7,Sitting,51.75,54.75,0.0,1.0,1.0
24,7,Walking,766.5,769.5,0.0,0.5,0.5
0,8,Walking,1177.5,1180.5,0.5,0.5,0.0
1,8,Walking,1395.0,1398.0,0.5,0.5,0.5
2,8,Walking,438.0,441.0,0.0,0.5,0.5
3,8,Walking,291.0,294.0,0.0,0.5,0.5
4,8,Jogging,168.0,171.0,1.0,1.0,1.0
5,8,Jogging,780.0,783.0,1.0,1.0,1.0
6,8,Jogging,705.75,708.75,1.0,1.0,1.0
7,8,Jogging,886.5,889.5,0.5,1.0,1.0
8,8,Upstairs,276.0,279.0,0.5,0.5,0.5
9,8,Upstairs,162.0,165.0,0.0,0.5,0.5
10,8,Upstairs,321.75,324.75,0.0,0.5,0.0
11,8,Upstairs,318.75,321.75,0.0,0.5,0.0
12,8,Downstairs,31.5,34.5,1.0,0.5,0.5
13,8,Downstairs,174.75,177.75,0.5,0.5,0.5
14,8,Downstairs,159.75,162.75,0.0,0.5,0.5
15,8,Downstairs,27.0,30.0,0.0,0.5,0.5
16,8,Sitting,106.5,109.5,0.0,1.0,1.0
17,8,Sitting,112.5,115.5,0.0,1.0,1.0
18,8,Sitting,49.5,52.5,0.0,1.0,1.0
19,8,Sitting,51.75,54.75,0.0,1.0,1.0
20,8,Standing,156.75,159.75,0.0,1.0,1.0
21,8,Standing,0.75,3.75,0.0,1.0,1.0
22,8,Standing,60.0,63.0,0.0,1.0,1.0
23,8,Standing,108.0,111.0,0.0,1.0,1.0
24,8,Standing,89.25,92.25,0.0,1.0,1.0
0,12,Walking,44.25,47.25,0.5,0.5,0.5
1,12,Walking,45.0,48.0,0.5,0.5,0.5
2,12,Walking,160.5,163.5,0.0,0.5,0.5
3,12,Walking,962.25,965.25,0.0,0.5,0.5
4,12,Jogging,835.5,838.5,1.0,0.5,0.5
5,12,Jogging,1081.5,1084.5,0.5,0.5,0.5
6,12,Jogging,977.25,980.25,0.5,0.5,0.0
7,12,Jogging,1011.0,1014.0,0.5,0.5,0.5
8,12,Sitting,82.5,85.5,0.0,1.0,1.0
9,12,Sitting,54.0,57.0,0.0,1.0,1.0
10,12,Sitting,66.75,69.75,0.0,1.0,1.0
11,12,Sitting,49.5,52.5,0.0,1.0,1.0
12,12,Upstairs,188.25,191.25,0.0,0.0,0.0
13,12,Upstairs,22.5,25.5,0.0,0.0,0.0
14,12,Upstairs,26.25,29.25,0.5,0.5,0.0
15,12,Upstairs,190.5,193.5,0.0,0.0,0.0
16,12,Downstairs,585.0,588.0,0.0,0.5,0.0
17,12,Downstairs,143.25,146.25,0.5,0.5,0.0
18,12,Downstairs,32.25,35.25,0.0,0.0,0.0
19,12,Downstairs,308.25,311.25,0.5,0.5,0.5
20,12,Standing,55.5,58.5,0.0,1.0,1.0
21,12,Standing,31.5,34.5,0.0,1.0,1.0
22,12,Standing,25.5,28.5,0.0,1.0,1.0
23,12,Standing,16.5,19.5,0.0,1.0,1.0
24,12,Walking,828.75,831.75,0.5,0.5,0.5
