window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,6,Jogging,486.75,489.75,0.5,0.5,0.5
1,6,Jogging,198.75,201.75,0.5,0.5,0.5
2,6,Jogging,83.25,86.25,0.0,0.5,0.5
3,6,Jogging,225.75,228.75,0.0,0.5,0.5
4,6,Walking,385.5,388.5,0.5,0.5,0.5
5,6,Walking,498.0,501.0,1.0,0.0,0.5
6,6,Walking,534.0,537.0,0.5,0.5,1.0
7,6,Walking,367.5,370.5,1.0,0.5,1.0
8,6,Upstairs,91.5,94.5,0.0,0.0,0.0
9,6,Upstairs,131.25,134.25,0.0,0.5,0.5
10,6,Upstairs,4.5,7.5,0.0,0.0,0.5
11,6,Upstairs,107.25,110.25,0.5,0.5,1.0
12,6,Downstairs,94.5,97.5,0.0,0.5,0.5
13,6,Downstairs,132.0,135.0,0.5,0.0,0.5
14,6,Downstairs,93.75,96.75,0.0,0.0,0.5
15,6,Downstairs,39.0,42.0,0.0,0.5,1.0
16,6,Sitting,29.25,32.25,0.0,1.0,1.0
17,6,Sitting,42.0,45.0,0.0,1.0,1.0
18,6,Sitting,22.5,25.5,0.0,1.0,1.0
19,6,Sitting,11.25,14.25,0.0,1.0,1.0
20,6,Standing,18.75,21.75,0.0,0.5,1.0
21,6,Standing,5.25,8.25,0.0,0.5,1.0
22,6,Standing,30.0,33.0,0.0,1.0,1.0
23,6,Standing,7.5,10.5,0.0,1.0,1.0
24,6,Jogging,99.75,102.75,0.0,0.0,0.0
