window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,21,Walking,170.25,173.25,0.5,0,0.5
1,21,Walking,156,159,0,0,0.5
2,21,Walking,123,126,0.5,0,0.5
3,21,Walking,207.75,210.75,0.5,0,0.5
4,21,Jogging,80.25,83.25,1,0,0.5
5,21,Jogging,173.25,176.25,1,0,0.5
6,21,Jogging,83.25,86.25,1,0,0.5
7,21,Jogging,127.5,130.5,1,0,0.5
8,21,Sitting,47.25,50.25,0,1,0.5
9,21,Sitting,70.5,73.5,0,1,0.5
10,21,Sitting,39,42,0,1,1
11,21,Sitting,66,69,0,1,1
12,21,Standing,12,15,0,1,0
13,21,Standing,117,120,0,1,0
14,21,Standing,4.5,7.5,0,1,0
15,21,Standing,105.75,108.75,0,1,0
16,21,Upstairs,29.25,32.25,0.5,0,0.5
17,21,Upstairs,445.5,448.5,0,0,0.5
18,21,Upstairs,482.25,485.25,0,0,0
19,21,Upstairs,149.25,152.25,0.5,0,0.5
20,21,Downstairs,138.75,141.75,0.5,0,1
21,21,Downstairs,484.5,487.5,0.5,0,0.5
22,21,Downstairs,150.75,153.75,1,0,0.5
23,21,Downstairs,271.5,274.5,0.5,0,0.5
24,21,Walking,168.75,171.75,0.5,0,0.5
